,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
83,sinnamary,100,GF,1612651877,86,5.3833,-52.95,77.72,13.53
84,lagoa,100,PT,1612651715,89,39.05,-27.9833,60.21,26.17
85,thompson,75,CA,1612651863,62,55.7435,-97.8558,-25.6,14.97
86,marsa matruh,0,EG,1612652136,82,31.3525,27.2453,53.6,5.75
87,ust-omchug,96,RU,1612652027,86,61.15,149.6333,-10.48,5.68
88,bani walid,98,LY,1612652136,25,31.7566,13.9942,67.21,12.39
89,klaksvik,75,FO,1612651869,60,62.2266,-6.589,33.8,21.85
90,lata,27,PT,1612651794,81,40.1629,-8.3327,48.99,3.0
91,tessalit,75,ML,1612652136,18,20.1986,1.0114,72.63,14.5
92,linxia,100,CN,1612652136,71,35.6003,103.2064,28.15,0.81
93,klyuchi,75,RU,1612652137,91,52.2667,79.1667,30.06,23.31
94,ribeira grande,97,PT,1612651990,85,38.5167,-28.7,61.07,21.97
95,solnechnyy,100,RU,1612651898,89,50.7214,136.6319,-4.36,4.07
96,lavrentiya,0,RU,1612651893,79,65.5833,-171.0,-7.49,2.71
97,gat,1,IL,1612651753,100,31.61,34.7642,57.0,2.1
98,college,90,US,1612651577,77,64.8569,-147.8028,-6.0,0.04
99,airai,87,TL,1612651705,99,-8.9266,125.4092,64.26,2.64
100,goulburn,0,AU,1612652137,63,-34.75,149.7167,71.01,10.22
101,conde,20,BR,1612652001,78,-7.2597,-34.9075,80.6,5.75
102,bandarbeyla,21,SO,1612652005,80,9.4942,50.8122,75.2,12.35
103,kodiak,20,US,1612651857,60,57.79,-152.4072,37.4,3.44
104,vila velha,20,BR,1612652018,78,-20.3297,-40.2925,80.6,3.44
105,upernavik,95,GL,1612651852,77,72.7868,-56.1549,19.63,3.09
106,borivka,31,UA,1612652138,72,50.4564,29.546,12.99,6.71
107,hithadhoo,51,MV,1612651866,75,-0.6,73.0833,81.66,12.37
108,cape town,20,ZA,1612651877,83,-33.9258,18.4232,72.0,9.22
109,alexandria,0,EG,1612652138,88,31.2156,29.9553,55.4,3.44
110,avarua,67,CK,1612651708,74,-21.2078,-159.775,84.2,11.5
111,butaritari,100,KI,1612651849,80,3.0707,172.7902,81.3,20.31
112,port lincoln,87,AU,1612651720,69,-34.7333,135.8667,61.68,11.23
113,ciudad bolivar,100,VE,1612652138,51,8.1222,-63.5497,85.21,15.61
114,wageningen,75,NL,1612652138,100,51.9667,5.6667,30.99,21.85
115,eyl,12,SO,1612652139,81,7.9803,49.8164,74.52,11.01
116,tonantins,68,BR,1612652139,93,-2.8731,-67.8022,77.25,1.9
117,katsuura,0,JP,1612651808,65,35.1333,140.3,44.6,3.44
118,loksa,0,EE,1612652139,92,59.5764,25.7214,8.6,5.75
119,calama,0,CL,1612652022,25,-22.4667,-68.9333,75.2,31.07
120,ornes,75,NO,1612652140,86,66.8689,13.7078,26.01,3.44
121,coruripe,83,BR,1612652140,77,-10.1256,-36.1756,79.3,16.71
122,naze,75,JP,1612651733,77,28.3667,129.4833,62.6,3.44
123,laguna,1,US,1612651885,48,38.421,-121.4238,66.0,4.61
124,siavonga,98,ZM,1612652022,86,-16.5382,28.7088,74.62,4.74
125,vangaindrano,97,MG,1612652140,89,-23.35,47.6,77.02,5.61
126,deloraine,27,AU,1612652140,65,-41.5333,146.6667,66.99,1.01
127,faanui,2,PF,1612651858,67,-16.4833,-151.75,82.24,10.04
128,liku,100,ID,1612652140,74,-0.7275,119.8922,76.48,2.04
129,vetluga,100,RU,1612652141,91,57.8557,45.781,-5.44,9.15
130,nishihara,20,JP,1612651900,72,26.1842,127.7558,68.0,6.53
131,deputatskiy,1,RU,1612651708,84,69.3,139.9,-34.71,1.57
132,henties bay,40,NA,1612652129,89,-22.116,14.2845,64.99,1.99
133,nome,90,US,1612651885,86,64.5011,-165.4064,17.6,6.91
